NPI,NDC,Units,UnitCost
1,2473,473,420.61
4,4471,2505,395.32
7,3161,1106,158.46
3,1131,2501,17.25
9,4498,238,446.28
5,1168,2504,86.75
5,535,2504,153.69
2,346,2538,105.71
10,3264,242,417.67
10,643,230,368.88
3,2545,2500,338.09
3,3574,2499,365.97
4,3896,2504,261.33
3,2425,2498,227.79
5,1400,2503,397.61
7,3337,642,178.35
10,2509,342,449.55
2,2154,2538,455.76
8,2211,723,178.54
10,892,244,330.26
9,2265,550,150.99
5,2499,2503,155.56
6,2519,2296,468.38
2,1874,2537,329.3
6,4498,1251,438.4
4,3722,2504,46.49
1,2602,473,432.38
8,341,2707,171.58
9,436,1847,67.73
5,685,2502,216.64
5,1811,2502,214.49
4,1097,2504,362.75
7,4300,1470,365.61
4,3066,2503,160.61
1,1126,474,290.75
7,4424,2058,198.2
9,3876,2221,204.31
3,147,2497,159.98
9,525,578,93.33
3,10,2497,336.26
1,2307,474,346.69
2,4528,2536,159.24
1,171,474,385.65
2,3282,2536,89.91
10,1565,695,104.22
6,4313,2040,469.87
6,215,87,442.78
7,3471,73,128.68
4,325,2502,324.83
5,1331,2502,483.05
9,3961,317,114.38
10,3219,2902,456.7
8,3048,1096,318.69
2,1496,2535,25.73
9,4633,1840,149.68
5,4694,2501,217.69
9,1913,1503,261.4
2,920,2535,342.25
5,2745,2499,290.17
4,2807,2502,215.49
4,225,2502,26.59
2,4651,2534,478.32
8,4892,130,137.23
9,2890,221,162.18
9,4898,293,236.42
9,665,266,210.52
2,4467,2534,222.58
3,3612,2496,90.41
5,227,2497,425.46
9,3347,354,250.48
8,2388,2317,320.28
6,4811,1220,300.48
5,3063,2497,43.71
3,1615,2496,237.75
10,3622,2993,198.88
5,4750,2496,349.67
5,2656,2495,149.17
4,1413,2502,342.9
2,889,2534,334.66
1,565,474,103.14
7,691,987,329.42
10,2644,1606,345.98
6,3393,1120,165.1
5,2907,2495,409.61
2,2117,2533,345.1
2,1454,2533,413.56
4,3181,2501,41.56
3,4104,2496,244.21
3,320,2495,286.66
9,360,686,179.96
1,4633,475,321.18
9,4301,2066,236.03
4,790,2500,193.09
4,875,2499,278.76
8,2385,698,243.32
5,377,2495,242.5
3,4097,2495,262.6
1,62,475,157.96
5,4853,2495,480.04
4,3814,2499,439.4
5,2154,2495,341.25
8,2561,484,40.72
3,3889,2494,500.03
6,1591,1192,113.27
5,2557,2494,453.9
1,4360,476,368.73
2,674,2533,261.79
6,182,1484,284.21
6,4726,2200,391.35
9,1521,732,10.62
9,690,1380,502.07
1,3857,476,395.77
9,2154,1902,15.76
9,2260,438,141.44
7,1776,547,117.62
9,4411,1411,234.68
10,359,1122,63.55
2,4103,2532,416.6
3,2869,2493,283.26
9,1393,603,19.77
7,4153,1234,61.54
1,1563,477,17.14
10,1142,1386,435.22
2,217,2532,38.53
3,1390,2493,207.6
10,531,2152,35.72
4,3630,2498,126.22
1,2441,477,156.79
4,3702,2498,73.55
3,1568,2492,33.43
2,4905,2530,469.57
3,2092,2491,33.91
4,1034,2498,465.78
2,364,2530,473.73
9,4743,635,410.03
7,1197,2084,144.05
4,2917,2498,257.82
9,3672,2934,149.52
7,455,1749,182.86
4,1741,2497,8.25
8,3393,126,99.77
9,3007,1645,279.25
8,907,540,140.59
6,291,1599,321.02
6,2264,326,433.19
5,491,2494,285.96
9,678,740,226.88
4,2357,2497,228.05
4,3613,2497,293.3
5,160,2493,303.15
3,450,2491,211.93
7,3228,1092,89.77
3,1845,2491,52.45
3,3467,2489,310.9
1,3526,478,305.03
3,2376,2486,171.49
9,2294,2585,171.88
3,642,2485,503.98
7,1791,947,265.02
1,2242,480,308.34
10,535,708,83.1
8,4413,462,377.32
5,668,2493,438.46
8,1068,1892,67.98
7,2202,948,438.8
10,3299,2481,63.3
8,2054,311,187.23
5,1957,2493,154.68
7,4375,1185,232.59
2,4138,2529,42.51
5,4857,2493,124.99
4,2507,2497,189.63
5,791,2492,423.26
2,1525,2527,272.34
3,4014,2483,178.97
8,4570,21,249.38
1,2915,482,346.69
10,1545,259,268.71
1,1669,484,48.63
2,963,2526,103.63
10,3290,1917,134.28
8,2930,2482,260.85
8,3889,921,451.09
7,1134,591,184.01
2,1080,2525,371.46
5,1322,2491,239.39
5,1344,2490,291.86
1,849,484,353.08
3,1032,2482,109.84
6,3843,488,504.24
8,2946,2505,153.66
10,3675,2301,24.58
9,2870,609,354.98
3,2917,2481,27.93
5,2713,2489,57.55
8,4245,1071,486.63
10,79,1281,141.82
5,1049,2488,218.63
3,3576,2480,27.74
2,4848,2523,176.84
7,3021,1784,210.98
9,2047,934,240
5,4638,2488,150.05
8,4227,219,94.18
1,3905,484,493.91
1,4300,485,94.12
5,3339,2488,14.07
1,4933,486,82.94
5,198,2487,227.7
2,395,2522,425.35
10,2250,1518,27.89
2,189,2521,106.11
8,127,137,304.53
3,3022,2479,456.48
6,576,2950,203.85
8,1558,2575,314.15
5,2233,2486,366.88
7,4892,1105,135.53
1,925,489,414.84
4,275,2496,245.96
7,2095,63,210.51
2,2395,2520,503.57
8,1211,1625,466.95
6,1629,2164,419.83
10,4539,1153,317.95
7,903,61,156.83
7,1478,1567,74.97
7,200,535,73.81
3,296,2479,131.73
10,3095,460,408.19
5,1998,2486,366.03
3,2051,2478,45.26
1,1474,489,472.75
4,4143,2496,24.94
6,749,2463,497.07
6,1849,1538,451.83
10,192,2170,16.32
2,1699,2520,75.21
9,1314,1353,73.04
7,2458,801,325.34
10,3912,1358,456.09
1,1274,490,253.09
3,3787,2477,392.95
8,109,131,183.8
6,2841,2887,219.93
8,3125,2109,162.34
8,4128,1826,338.61
5,3201,2486,51.28
3,166,2476,280.17
5,3578,2484,404.13
2,1451,2520,479.17
3,636,2476,70.69
3,54,2475,163.8
2,3668,2520,287.07
6,2861,556,417.78
6,4256,27,328.42
5,3827,2484,301.7
9,2606,953,426.96
1,4508,490,266.49
8,4293,231,93.75
10,1577,57,208.54
8,3295,1197,357.56
10,1127,2209,86.2
1,1529,492,299.2
4,1169,2496,38.79
6,2666,1826,318.48
2,4182,2519,262.04
8,1752,2269,231.76
3,2603,2474,116.05
3,1432,2474,155.05
8,2316,2057,500.07
1,4563,492,293.16
10,2436,207,295.64
10,808,2924,178.73
1,1842,492,251.59
1,638,493,34.6
5,1310,2484,211.75
7,4747,2738,29.41
1,1207,493,347.95
1,2213,493,339.49
4,2480,2495,447.46
5,2731,2484,267.29
3,4894,2471,182.12
6,715,2316,52.1
3,1866,2471,311.2
6,1639,2037,85.59
1,2223,496,421.34
9,1481,858,12.57
2,4370,2518,227.81
4,2085,2494,61.75
5,3899,2484,331.59
3,3829,2471,119.68
10,1825,2292,346.28
8,3217,386,166.78
1,3214,496,105.87
6,3441,1096,287.52
2,3627,2518,387.56
1,4861,497,360.35
6,667,2843,210.13
4,4601,2493,208.34
1,4228,497,348.85
5,2583,2484,245.17
5,4845,2484,376.49
9,3936,340,462.53
7,452,2215,163.75
7,3472,739,224.32
10,3701,2510,345.19
8,3975,1680,503.16
10,241,2848,37.97
10,3059,961,208.94
3,2653,2471,269.46
4,4793,2493,169.84
3,4524,2470,134.81
2,2329,2518,134.02
8,4109,631,394.29
8,482,419,354.78
2,4223,2516,500.1
3,3141,2470,182.08
1,501,498,298.2
4,750,2493,174.07
2,1704,2515,116.02
5,214,2483,225.08
6,1636,2644,339.45
1,4901,499,422.45
4,4814,2492,125.35
9,1921,55,179.78
10,3987,469,409.93
1,2150,500,171.44
7,4032,2198,170.19
5,4004,2482,412.19
3,4943,2470,142.99
5,2888,2481,215.21
9,4916,70,214.82
1,3750,501,52
2,1935,2515,471.4
4,4322,2492,208.8
10,280,2507,408.64
7,518,2580,34.03
6,2969,1604,349.62
7,1622,729,404.68
2,4360,2515,367.43
5,3994,2480,465.46
3,2826,2469,379.86
2,4541,2514,186.6
10,3950,1826,450.2
10,446,2589,45.71
10,4115,2565,302.68
9,2567,2826,422.26
5,4583,2480,129.25
4,495,2491,121.9
1,1949,501,20.31
6,543,1680,277.12
9,4796,1224,5.52
10,421,681,255.04
10,1391,365,130.73
2,1304,2513,136.55
8,3550,25,198.91
7,4506,2676,238.09
5,1714,2480,176.16
3,1753,2469,499.08
7,1615,2947,40.01
10,27,2527,362.17
9,1474,251,156.53
5,4988,2480,434.79
2,4702,2513,316.06
6,4530,1546,317.13
8,1825,2883,133.6
1,2994,502,36.55
4,1408,2491,417.76
5,2702,2480,112.12
9,598,332,127.27
4,3148,2490,438.56
5,3636,2479,92.32
3,1292,2469,411.78
5,3366,2479,391.91
3,2203,2468,381.71
9,2981,2759,192.22
2,916,2512,361.7
1,1094,502,132.23
9,1480,1465,66.89
2,2876,2511,119.14
9,3557,2697,494.55
9,4378,2713,143.85
8,2798,1124,246.32
3,1767,2468,177.89
8,543,2753,106.94
10,2991,650,403.62
3,203,2468,310.53
2,454,2510,455.88
4,4600,2490,437.5
1,1854,503,155.54
4,562,2489,326.91
1,4752,503,99.83
5,3650,2479,457.21
1,3680,504,99.06
1,4637,504,413.33
1,4409,505,352.63
5,2940,2478,366.1
2,645,2510,98.63
3,1811,2468,317.34
3,2950,2467,83.29
5,2773,2478,423.7
3,210,2467,237.5
3,616,2466,252.12
6,36,1129,473.16
3,4730,2466,293.54
2,2106,2509,5.96
9,691,277,333.63
7,2191,1276,161.16
7,1927,1758,438.94
10,579,714,100.91
7,991,2784,21.55
7,3922,409,383.44
5,1673,2477,361.72
7,236,1491,119.05
3,3650,2465,239.83
10,2104,2363,222
8,1260,81,289.08
1,3073,505,473.33
9,4003,878,339.52
1,3949,506,87.74
7,4562,1987,251.85
6,2767,865,229.24
1,3333,506,167.9
6,1501,2580,475.89
7,3623,969,302.6
1,406,507,421.3
2,4250,2509,363.39
8,1349,1081,110.48
2,4092,2509,487.67
1,4872,508,105.76
8,2644,1364,422.34
7,3705,2725,26.43
8,4006,2073,88.53
9,766,1983,404.85
1,1256,508,163.91
5,1038,2476,131.92
2,3945,2508,233.47
2,2130,2508,412.56
4,3211,2488,279.72
2,4409,2507,52.73
10,3649,2926,439.02
5,3031,2475,219.19
1,3995,508,236.37
1,4529,509,132.96
6,11,411,452.25
3,178,2465,57.76
9,2185,132,208.65
3,3705,2464,23.5
6,4730,2397,257.95
9,3179,1571,291.13
1,1765,509,355.03
8,1727,716,390.73
1,1400,510,368.88
6,3357,2969,424.21
3,2251,2464,338.34
7,1573,1610,227.3
1,3734,510,424.95
6,168,2937,499.94
9,3363,222,264.69
2,4175,2507,97.07
1,4368,511,229.85
9,1247,2699,111.42
4,4508,2488,34.18
4,1551,2488,81.67
2,4101,2506,62.02
7,1695,2874,290.63
8,2727,1510,498.58
9,440,2204,259.7
3,4160,2462,300.99
6,4146,49,286.74
8,3821,1349,342.7
3,1215,2462,277.34
4,3682,2486,208.5
4,2528,2486,269.12
7,4211,1697,62.95
1,951,512,140.51
4,4202,2485,250.87
1,2452,513,197.43
10,837,636,193.72
8,2927,159,371.5
3,3791,2462,202.09
6,4912,269,334.86
8,852,2676,283.03
8,1518,2427,230.36
10,2074,982,147.4
9,724,778,333.54
9,4548,231,127.48
7,253,583,285.61
7,1411,858,32.63
1,2711,513,23.51
3,1302,2461,252.01
3,2048,2461,249.51
4,1855,2483,379.74
8,2333,41,393.84
4,4077,2483,460.18
5,69,2475,152.79
5,4076,2474,422.38
7,3822,2989,496.52
8,4427,194,272.02
7,3190,488,435.61
5,922,2474,198.9
9,3471,2194,36.54
10,2374,2296,404.28
1,412,514,437.23
8,3372,2550,88.68
8,1179,920,361.75
10,419,58,13.78
7,1387,2039,170.56
9,3637,2143,452.8
8,2511,2436,399.34
2,4560,2506,85.45
8,3443,656,383.85
9,4283,2862,339.66
7,1303,1100,73.76
4,2795,2482,46.59
1,4063,514,390.14
3,4004,2461,141.39
6,200,1458,111.18
7,4461,2675,272.01
6,1360,2742,411.81
2,2126,2506,24.1
3,3916,2460,306.26
7,1830,1429,178.86
2,3989,2505,359.09
6,2809,140,148.46
2,1717,2505,450.7
5,468,2474,342.98
4,1668,2481,381.5
10,4702,1857,231.35
3,592,2460,207.37
9,4089,2681,317.69
2,1543,2505,209.35
3,874,2459,489.95
7,3460,1880,147.3
3,560,2459,110.79
1,3538,515,258.49
5,4209,2473,259.39
9,1531,2854,433.67
8,1354,1302,283.77
4,3293,2479,174.63
7,4236,2027,372.79
6,3397,1501,56.82
3,608,2458,396.32
4,2680,2479,184.68
5,1940,2473,346.24
3,1663,2457,141.63
8,3811,1549,161.62
4,786,2479,272.77
5,3135,2471,499.53
5,1343,2470,72.09
6,1583,1961,480.62
5,786,2469,317.67
8,262,628,36.6
3,211,2455,184.39
2,328,2505,463.83
8,102,1003,394.28
6,3070,1707,19.18
4,3699,2477,423.49
8,2234,1857,440.29
2,2015,2504,428.49
5,2806,2469,192.43
2,2452,2503,74.21
6,4902,2844,88.02
1,4425,515,201.96
9,769,1237,164.61
3,1418,2455,421.48
7,1605,1704,152.98
6,1574,1362,460.7
7,4503,38,487.01
10,2605,2472,58.9
10,556,1018,226.35
6,315,2653,245.41
7,343,1548,299.78
8,4329,62,380.08
4,1918,2476,490.49
6,4356,2121,421.51
6,2564,2604,474.89
8,676,1661,110.97
9,4169,1098,204.9
7,1039,1288,488.38
4,215,2473,479.68
9,2670,2658,268.97
6,1033,1681,86.65
6,3085,1784,278.62
1,3684,515,280.1
4,4373,2470,222.63
1,1292,516,295.31
1,822,516,291.76
9,294,1401,174.98
5,4170,2466,234.71
2,4910,2503,29.3
1,466,519,374.52
3,2279,2455,240.25
4,2954,2469,134.79
4,377,2469,112.41
6,3257,502,388.61
2,2587,2502,307.27
3,343,2454,423.43
5,935,2465,440.55
4,3306,2468,118.7
7,1525,1174,238.7
3,734,2454,139.11
5,2867,2465,318.04
2,2214,2502,281.19
9,297,1373,112.58
4,4254,2467,352.75
2,3371,2502,380.86
3,256,2454,180.98
10,887,1372,385.21
1,2198,520,120.86
4,1244,2467,53.17
3,2270,2454,420.09
7,1705,1136,86.46
6,207,1903,235.93
2,3923,2502,178.28
8,2312,869,270.21
3,2820,2452,18.67
3,690,2451,137.9
3,849,2450,288.68
9,103,2190,397.85
9,321,1927,473.99
2,2799,2501,400.36
5,3489,2464,28.92
4,3357,2464,45.12
4,3484,2464,354.1
8,271,1070,466.86
9,879,409,448.07
7,2763,1237,492.89
3,3433,2449,355.68
6,1737,676,303.27
3,3784,2448,239.09
4,1789,2463,303.17
2,19,2499,260.98
6,1284,2123,75.18
9,746,1047,267.76
4,3304,2463,416.86
4,4224,2459,124.66
2,534,2498,365.77
10,1338,440,119.96
4,4096,2459,120.42
9,4382,2300,467.03
9,2135,541,263.72
10,2940,363,71.88
6,1484,2061,219.44
6,3098,2591,36.63
8,983,1307,405.22
5,4118,2463,443.91
6,1411,1432,366.42
2,1449,2496,208.79
4,4065,2459,41.25
9,1438,2095,98.27
5,1958,2463,40.51
4,3823,2457,426.01
8,2032,461,146.48
7,1737,1535,241.83
10,4393,1733,352.72
4,2120,2457,5.91
1,2348,521,163.85
3,4868,2448,320.29
8,4451,1588,456.69
10,3472,1326,373.83
7,3168,381,313.23
9,1138,982,260.37
3,955,2448,430.65
7,4487,1786,29.85
2,3391,2495,372.87
7,426,2989,410.8
6,4687,2243,45.41
4,3253,2456,427.93
9,2248,1378,338.62
10,730,2030,317.14
10,3193,816,39.9
4,2056,2455,196.23
2,4736,2494,257.29
8,3129,2913,241.7
9,2306,474,352.12
7,4876,212,345.06
4,1901,2455,443.32
10,3787,2221,111.74
1,3733,522,338.23
3,1796,2448,66.28
7,436,2443,99.12
7,1337,670,242.99
7,3994,1110,72
8,2660,863,61.96
9,3766,237,7.2
7,1286,2545,424.16
8,2734,234,414.6
4,1705,2454,39.82
4,3919,2453,381.77
2,1599,2493,56.19
8,1982,304,176.81
7,581,909,428.77
8,4303,953,31.86
9,479,11,437.41
1,3835,522,18.41
8,4241,1813,459.8
10,2702,873,164.11
2,3146,2493,486.95
10,717,2519,306.67
5,2810,2462,190.35
3,1515,2447,299.9
7,384,876,98.08
9,856,2608,392.96
5,4359,2461,285.82
4,2918,2453,450.4
1,596,525,11.75
6,4656,2822,294.54
6,3394,1491,370.77
7,1631,2709,37.49
10,4687,410,236.68
7,2431,1916,282.76
3,385,2447,18.56
3,3024,2446,277.17
6,2534,1518,367.32
10,1445,333,413.5
9,4115,1243,57.5
2,3346,2493,166.87
10,3488,1109,96.31
5,956,2461,365.05
4,3007,2451,254.29
10,3905,2737,468.76
2,3156,2493,244.28
1,4996,525,491.37
1,364,526,185.87
1,3400,528,180.27
3,4049,2446,49.11
8,3892,1957,110.99
6,2475,777,288.49
2,3432,2492,359.29
7,755,2463,301.74
2,3000,2492,402.76
6,2532,2734,241.02
2,439,2491,349.64
9,3152,2290,43.1
5,3736,2460,45.02
2,5,2490,187.11
1,2927,528,332.14
4,2384,2450,242.14
8,733,2306,48.34
4,1588,2450,409.06
4,1725,2449,323.33
5,3598,2459,381.45
6,4134,1705,383.22
1,4040,529,143.97
5,3616,2458,219.98
10,136,2975,438.47
1,1953,530,337.79
1,1404,530,286.61
1,4760,531,387.21
3,866,2446,392.14
3,4348,2443,406.79
7,285,2997,84.69
9,3296,2279,197.84
4,4833,2449,430.01
9,686,675,334.6
5,769,2455,333.92
6,2856,502,430.04
8,4523,192,69.1
3,2528,2442,411.89
10,3603,2491,142.96
10,3029,1645,164.79
2,669,2489,151.38
5,624,2454,51.4
8,433,2621,121
6,1603,2488,356.47
3,798,2442,220.96
1,4870,532,118.88
3,3980,2442,15.16
5,91,2454,283.2
3,142,2442,174.76
5,4114,2452,139.19
9,3283,1765,174.03
8,1685,1217,305.55
8,2749,186,151.8
10,3469,372,122.2
1,3930,532,424.98
1,2948,532,444.25
8,4347,2823,132.4
7,2365,1508,449.4
2,814,2487,48.1
4,4755,2448,448.44
10,4466,1114,482.53
7,3792,709,396.89
5,2904,2452,504.43
2,2011,2487,241.21
10,4860,1359,441.99
3,2607,2442,91.15
8,2639,2884,187.77
7,4069,2444,471.79
7,2722,344,47.74
6,3756,235,160.82
7,1593,2143,451.65
4,3793,2448,362.4
5,4266,2451,136.69
6,4527,141,478.96
10,269,2788,376.4
2,4288,2487,408.18
5,3545,2451,234.43
4,499,2447,267.86
2,487,2486,420.97
9,867,649,404.47
8,2023,1013,462.2
4,4865,2447,381.96
1,2827,533,13.18
4,1650,2446,51.12
8,3978,2452,132.42
2,4628,2486,311.91
1,4459,535,473.36
5,2596,2449,321.17
9,390,2054,504.74
9,3372,2680,361.44
8,2996,978,410.91
5,3669,2449,279.04
10,2004,1349,377.62
3,2566,2441,48.63
5,275,2449,331.78
5,957,2449,186.57
1,4103,535,237.79
8,4021,2887,69.41
7,1328,1592,388.46
9,532,223,438.71
8,65,371,275.43
5,4829,2449,254.36
2,1855,2486,280.58
1,3160,535,268.32
3,1940,2441,329.35
9,3640,2925,338.97
4,720,2446,147.73
4,4551,2444,349.97
2,3100,2485,195.58
1,4125,536,40.61
2,3304,2483,131.56
9,2608,1639,134.45
1,604,536,35.82
7,3056,102,128.32
5,1274,2449,70.73
9,3758,896,52.32
6,3603,2046,117.54
1,2203,537,148.46
8,1177,117,254.79
6,3383,2461,330.47
8,2964,879,320.98
10,3270,1811,187.85
9,2850,301,413.18
3,3857,2441,225.08
3,2139,2440,166.62
2,4545,2482,160.84
7,1428,2071,461.73
2,4969,2482,459.8
9,1750,1988,23.92
1,1718,538,290.88
3,1714,2440,419.16
4,1457,2444,377.5
10,348,1564,295.26
4,2118,2443,214.21
5,4731,2448,219.46
4,1363,2443,298.12
2,3082,2482,29.93
3,3969,2440,283.98
8,3196,1484,125.18
3,2842,2438,353.35
4,304,2443,418.36
9,315,441,196.76
6,2772,1583,89.51
2,595,2482,150.42
10,273,2250,10.86
3,208,2437,40.45
8,4705,154,391.4
2,2524,2481,411.4
9,2424,2687,18.8
1,27,538,465.24
5,4744,2448,115.24
5,2367,2447,348.78
1,2460,538,314.72
2,1796,2480,24.72
2,4070,2480,313.62
4,2932,2442,429.88
4,2552,2442,283.97
10,3653,2109,123.67
7,2390,1568,130.68
9,657,188,316.46
1,2162,540,180.9
4,1376,2440,410.57
9,4299,1412,184.4
10,3415,2908,184.31
5,2408,2446,108.59
8,1047,2790,422.84
8,1943,999,358.1
7,3816,1194,196.05
1,2551,540,119.14
10,4775,873,201.39
9,3883,2941,477.03
1,3554,540,473.37
5,159,2446,443.66
7,2847,589,371.84
9,2266,1872,221.39
7,4320,2258,71.34
6,3723,782,334.84
1,784,540,19.54
2,3840,2479,361.7
10,4332,2760,233.82
2,1133,2479,330.58
8,3427,2709,59.65
1,4486,542,159.97
10,4973,286,143.56
4,4710,2439,167.32
1,2877,542,53.74
3,3515,2437,495.27
2,797,2477,402.87
4,4517,2439,458.28
1,2091,542,486.12
4,2439,2439,101.65
1,4311,543,483.74
7,3498,1649,87.72
10,2419,1776,43.74
10,1863,1902,314.92
9,261,2563,202.46
3,4616,2435,152.34
1,4617,543,241.85
4,349,2438,103.43
10,3371,1629,104.75
1,1488,543,122.91
5,3486,2444,37.62
3,1565,2434,216.62
6,1634,556,405.17
9,3104,1051,478.64
7,3495,1590,426.37
3,32,2434,245.3
8,91,739,380.13
6,4033,1220,345.07
2,853,2477,348.13
7,636,1314,8.45
3,4154,2434,13.32
3,1894,2433,65.54
2,3267,2476,230.19
10,3445,2349,446.1
3,4068,2431,223.92
6,1142,1408,410.36
8,2974,1201,43.99
7,2818,246,98.15
8,4571,2593,104.28
3,1542,2431,458.41
9,3973,2696,59.68
7,179,2071,406.75
5,2486,2444,215.63
9,478,502,186.51
10,4358,220,316.82
9,4855,2820,467.92
8,2476,60,489.39
8,3483,2423,425.32
4,4497,2438,18.03
3,1683,2430,133.99
9,736,2370,302.45
9,3686,2791,447.2
8,2154,2211,453.66
7,1192,2165,84.03
10,3478,778,121.57
8,4323,501,9.31
6,957,224,467.2
5,1558,2442,80.07
10,1646,1791,50.6
2,84,2476,161.21
1,2086,544,207.53
9,3134,2865,193.59
9,2208,761,76.44
3,2516,2430,307.59
6,2655,1132,279.18
8,988,1423,289.25
10,3422,876,64.79
7,4650,2013,459.95
8,1655,1787,171.68
2,4041,2475,458.62
4,2373,2437,253.28
10,4144,2840,461.67
6,3958,2470,29.83
7,468,732,159.7
3,2037,2430,185.22
3,4510,2430,115.6
7,4159,1569,332.41
4,2377,2437,310.93
10,2625,1324,334
9,569,2838,265.48
3,4690,2428,121.93
2,3689,2475,334.63
5,3510,2442,488.21
6,2877,690,218.47
8,4401,1071,319.06
1,407,545,482.65
6,472,1669,329.84
2,4072,2474,163.78
1,3083,545,162.92
7,1522,2295,84.12
5,2536,2441,367.74
3,1410,2428,437.84
8,2991,2193,381.56
2,2628,2474,407.75
7,877,2087,352.86
4,1838,2436,137.74
8,4070,1211,368.2
1,3863,545,87.65
8,3090,1623,237.39
4,305,2436,440.91
7,4908,1705,480.77
8,3027,2231,417.66
3,3666,2428,435.47
2,4774,2473,264.39
8,1789,676,185.11
1,750,545,399.78
9,491,489,25.93
2,3238,2473,227.47
10,3790,1784,198.19
8,2436,1764,93.82
6,804,1799,68.74
10,31,2234,495.26
6,4228,2555,240.01
10,4790,1600,35.1
10,1597,1803,92.17
10,3456,1229,350.29
1,1208,547,160.07
8,1476,2875,85.16
3,490,2428,103.86
1,2418,547,498.94
8,1465,401,292.58
2,2767,2473,293.71
9,2493,2773,160.6
2,1411,2473,28.19
3,2756,2427,18.35
2,3587,2473,379.18
1,741,548,201.39
8,1750,2603,184.1
8,441,630,502.26
1,3109,548,485.94
3,850,2427,472.81
10,3451,362,491.17
8,4870,1090,362.79
8,2176,892,53.67
7,1987,2584,345.35
8,3705,1011,90.86
8,1048,100,48.96
2,4010,2473,182.37
10,4055,796,289.81
5,1139,2441,157.17
5,3257,2441,103.8
5,3955,2440,138.88
5,7,2439,92.59
5,3935,2439,473.2
2,4110,2472,201.13
7,1113,2045,8.2
5,3432,2438,289.21
9,628,2930,428.82
9,4659,2574,406.94
9,3016,1693,432.67
4,2671,2434,190.98
10,3453,2430,170.74
3,1754,2426,488.43
7,3330,2824,466.21
7,4729,1182,133.1
2,216,2471,66.99
10,3652,210,40.51
8,2219,1481,237.1
8,1521,490,340.89
1,753,549,270.18
5,1746,2438,368.52
3,1026,2426,419.74
8,3290,1279,440.76
2,3635,2471,352.91
7,804,647,22.61
1,4503,551,157.39
2,4334,2471,14.12
6,725,2518,388.34
6,4723,480,207.17
2,3271,2470,361.48
7,820,198,405.07
2,2809,2469,108.89
5,2852,2438,311.31
5,1148,2437,317.87
3,3409,2425,159
7,331,2091,144.08
1,976,551,492.41
4,1994,2434,438.46
7,1435,1313,490.2
8,3403,2229,40.62
6,2185,2269,225.61
9,2104,45,74.83
1,429,551,146.37
3,4637,2424,360.96
10,3543,2489,344.49
10,4999,1677,480.59
1,3656,551,38.38
3,2036,2422,378.7
10,2270,1355,109.36
10,980,2297,234.93
9,4857,1751,21.77
5,4869,2437,448.19
4,4604,2433,366.63
1,3295,553,193.89
7,3277,1815,252.9
8,1352,23,401.48
5,1094,2435,6.05
1,2832,553,356.13
5,1582,2435,272.29
1,3613,554,475.14
3,1340,2420,442.49
4,4229,2430,421.62
7,3132,926,277.51
8,3516,632,483.51
6,2842,426,272.71
2,1082,2469,116.54
5,4510,2434,66.83
9,1053,2381,347.43
4,1808,2430,198.42
10,3127,2663,353.71
7,3987,929,140.2
6,4222,2823,218.71
4,857,2425,154.14
9,907,2249,108.54
7,831,831,305.18
7,986,2107,368.07
3,1458,2418,64.96
6,3486,2305,197.05
7,3768,2037,37.02
5,3732,2434,139.4
8,985,1197,455.6
8,2174,2322,105.44
3,3300,2416,374.01
5,1787,2434,467.76
9,4140,873,26.86
10,2179,2428,417.49
10,2382,577,97.78
7,568,335,457.42
8,593,2675,357.44
3,144,2415,152.97
6,2201,512,180.35
10,4853,148,256.48
2,1881,2468,39.36
9,1185,2807,264.52
6,1196,887,243.54
10,4716,2945,439.83
8,329,1417,436.22
9,2876,2628,148.77
10,1372,194,128.22
8,4083,2869,98.11
5,689,2434,151.95
8,328,515,385.01
7,2045,2349,354.73
3,630,2415,426.55
2,2564,2468,385.73
9,2386,2108,460.05
2,3216,2468,6.41
10,2273,928,7.13
2,911,2468,388.87
9,485,697,494.62
6,4603,594,143.75
6,2027,1942,409.92
6,4534,2751,349.67
2,1834,2468,14.83
6,2339,1831,473.7
1,100,554,456.14
4,4414,2425,263.79
5,1164,2432,283.35
4,1868,2424,40.08
10,585,619,210.94
5,294,2432,335.95
7,1016,158,459.69
3,4495,2413,224.93
4,399,2424,55.78
8,876,2202,133.32
7,1296,2944,341.57
6,4586,1120,384.96
8,634,1591,13.74
10,4864,1061,360.34
6,999,2675,160.14
2,2042,2468,297.91
6,4370,708,421.82
8,3513,1264,357.14
9,2331,190,344.13
10,4255,2066,198.53
3,3540,2412,377.07
6,76,1906,344.66
8,3338,458,190.84
2,1329,2467,431.52
1,2147,556,424.81
7,1743,2281,377.62
10,3384,716,238.53
7,1757,2352,337.51
3,2091,2410,281.89
2,4376,2467,73.63
4,2330,2424,475.59
8,904,804,46.66
9,3510,2655,85.56
3,3729,2410,257.81
7,41,983,227.03
9,2138,1798,440.07
5,2754,2430,493.17
2,3999,2467,71.64
3,2932,2410,259.79
4,2210,2424,211.44
6,2086,789,85.13
4,4511,2422,325.51
1,3122,556,502.24
3,3776,2409,240.27
4,1198,2422,12.15
1,3628,556,48.67
8,3848,453,397.37
9,1412,2529,289.58
4,3458,2422,30.51
2,3039,2466,143.17
9,4794,2652,384.45
6,699,1540,238.56
7,3586,2745,116
5,1294,2429,142.13
5,2266,2429,217.08
8,4458,2075,162.2
3,34,2408,437.93
